time,city,speed_kt,deg
2026-03-10 13:30:00,Tuban,4.7,249
2026-03-10 13:30:00,Pacitan,5.0,311
2026-03-10 13:30:00,Dhoho,5.6,188
2026-03-10 13:40:00,Juanda,4.0,20
2026-03-10 13:40:00,Perak,4.0,20
2026-03-10 13:40:00,Bawean,14.3,279
2026-03-10 13:40:00,Kalianget,5.6,289
2026-03-10 13:40:00,Banyuwangi,3.2,246
2026-03-10 13:40:00,KarangPloso,3.8,215
2026-03-10 13:40:00,Tretes,4.8,209
2026-03-10 13:40:00,KarangKates,0.9,327
2026-03-10 13:40:00,Sawahan,3.4,213
2026-03-10 13:40:00,Tuban,4.7,249
2026-03-10 13:40:00,Pacitan,5.0,311
2026-03-10 13:40:00,Dhoho,5.6,188
2026-03-10 13:50:00,Juanda,0.6,140
2026-03-10 13:50:00,Perak,1.7,318
2026-03-10 13:50:00,Bawean,14.3,279
2026-03-10 13:50:00,Kalianget,5.6,289
2026-03-10 13:50:00,Banyuwangi,3.2,246
2026-03-10 13:50:00,KarangPloso,3.8,215
2026-03-10 13:50:00,Tretes,4.8,209
2026-03-10 13:50:00,KarangKates,0.9,327
2026-03-10 13:50:00,Sawahan,3.4,213
2026-03-10 13:50:00,Tuban,4.7,249
2026-03-10 13:50:00,Pacitan,5.0,311
2026-03-10 13:50:00,Dhoho,5.6,188
2026-03-10 14:00:00,Juanda,0.6,140
2026-03-10 14:00:00,Perak,1.7,318
2026-03-10 14:00:00,Bawean,14.3,279
2026-03-10 14:00:00,Kalianget,5.6,289
2026-03-10 14:00:00,Banyuwangi,3.2,246
2026-03-10 14:00:00,KarangPloso,3.8,215
2026-03-10 14:00:00,Tretes,4.8,209
2026-03-10 14:00:00,KarangKates,0.9,327
2026-03-10 14:00:00,Sawahan,3.4,213
2026-03-10 14:00:00,Tuban,4.7,249
2026-03-10 14:00:00,Pacitan,5.0,311
2026-03-10 14:00:00,Dhoho,5.6,188
2026-03-10 14:10:00,Juanda,0.6,140
2026-03-10 14:10:00,Perak,1.7,318
2026-03-10 14:10:00,Bawean,14.3,279
2026-03-10 14:10:00,Kalianget,5.6,289
2026-03-10 14:10:00,Banyuwangi,3.2,246
2026-03-10 14:10:00,KarangPloso,3.8,215
2026-03-10 14:10:00,Tretes,4.8,209
2026-03-10 14:10:00,KarangKates,0.9,327
2026-03-10 14:10:00,Sawahan,3.4,213
2026-03-10 14:10:00,Tuban,4.7,249
2026-03-10 14:10:00,Pacitan,5.0,311
2026-03-10 14:10:00,Dhoho,5.6,188
2026-03-10 14:20:00,Juanda,0.6,140
2026-03-10 14:20:00,Perak,1.7,318
2026-03-10 14:20:00,Bawean,14.3,279
2026-03-10 14:20:00,Kalianget,5.6,289
